model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_1_20240204_195150,0.03771580620473902,0.9989706416309772,0.999020179966612,0.006796941376380629,0.08758712680388801,0.007671504781760359,10285,0.211158,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20240204_195150,0.03857592933198584,0.998854784675698,0.9989280649899612,0.007221750212404418,0.08773407546621836,0.007697267997912098,8686,0.061874,StackedEnsemble
GBM_4_AutoML_1_20240204_195150,0.10089353473440564,0.9989839958594672,0.9990351615090258,0.007221750212404418,0.17559748330400465,0.030834476142700188,2289,0.072333,GBM
GBM_3_AutoML_1_20240204_195150,0.115100060737014,0.9982487914423216,0.9982394823346632,0.0118946474086661,0.1881115711326099,0.03538596319397895,1691,0.060228,GBM
GBM_2_AutoML_1_20240204_195150,0.11738789003356408,0.9986227098400452,0.9985764845528972,0.008920985556499575,0.19151093538209427,0.036676438370924686,1788,0.067008,GBM
GBM_5_AutoML_1_20240204_195150,0.12119308218442396,0.9954707509912808,0.9927983167662676,0.010195412064570943,0.1902949709695534,0.03621217597630316,1659,0.057835,GBM
GBM_grid_1_AutoML_1_20240204_195150_model_1,0.12364015773788904,0.9960619462957896,0.9946362168259884,0.013169073916737469,0.19293099747661585,0.03722236978732195,1697,0.065063,GBM
XGBoost_grid_1_AutoML_1_20240204_195150_model_2,0.14333038051304153,0.9931680488894696,0.987249756959209,0.0237892948173322,0.20495229247582025,0.04200544219109417,2378,0.012955,XGBoost
XGBoost_3_AutoML_1_20240204_195150,0.16658873530418794,0.9844065922246628,0.9719768198762117,0.031011045029736617,0.2163784688441134,0.04681964177932296,1028,0.030108,XGBoost
XGBoost_2_AutoML_1_20240204_195150,0.20392460547534097,0.977620478601112,0.963421039571004,0.056074766355140186,0.2404818520429298,0.05783152116199757,947,0.014209,XGBoost
GBM_1_AutoML_1_20240204_195150,0.252665181242298,0.964234849627778,0.938068786616632,0.07306711979609176,0.2720877956735983,0.07403176855451778,2400,0.062738,GBM
XGBoost_1_AutoML_1_20240204_195150,0.2974345970843235,0.9394891033104772,0.9061426097874464,0.10237892948173322,0.2985369796761202,0.08912432823414021,2090,0.011205,XGBoost
XGBoost_grid_1_AutoML_1_20240204_195150_model_1,0.3199863460155281,0.9294261507555244,0.8919786664560068,0.11299915038232795,0.3114914938580458,0.09702695074591698,2487,0.008811,XGBoost
DeepLearning_grid_1_AutoML_1_20240204_195150_model_1,0.3768999286286022,0.889077612610434,0.8312446876742062,0.15378079864061173,0.34697325339386326,0.12039043857072204,31363,0.006794,DeepLearning
DeepLearning_1_AutoML_1_20240204_195150,0.6972671455005628,0.8166352541526237,0.7383307155961322,0.21495327102803735,0.5052142561427369,0.2552414446098589,532,0.007288,DeepLearning
